user_id,age,height_cm,current_weight_kg,daily_calories,protein_grams,workout_days_per_week,workout_minutes_per_day,sleep_hours,water_liters,goal_days,final_weight_kg
1,25,151,90.3,2503,102,2,20,7.5,4.1,30,91
2,20,151,53.3,2452,174,0,90,5.4,3.3,90,54.1
3,46,187,63.9,1526,85,6,50,5.8,1.8,60,59.3
4,42,156,68.5,2908,112,0,75,6.9,4.4,75,70.5
5,36,190,83.3,2981,94,1,0,7.5,3.7,30,85.4
6,24,174,63.8,2994,86,5,50,5.4,1.9,120,67.2
7,28,184,89.6,2169,163,6,45,9,3.2,90,88.4
8,38,153,61.1,1631,125,6,45,4.8,4.2,90,57.2
9,38,163,85.4,3120,162,2,45,5.1,3.6,90,88.9
10,55,177,99.2,3135,137,3,30,6.8,1.3,30,101.3
11,27,190,57.1,3229,61,6,60,7.2,2.6,60,60.5
12,18,193,89.1,2592,132,1,45,6.5,2.6,120,92
13,34,182,91.4,3579,72,4,90,7.2,1.5,45,94.1
14,51,150,82.1,3501,49,1,50,8.5,3.9,60,85.8
15,33,186,102,1850,169,1,90,7.9,1.4,75,101.3
16,28,166,78.1,3233,99,3,45,6.3,3.4,60,80.9
17,51,178,54.9,2420,61,5,0,7.1,1.8,45,54
18,21,164,51.8,1628,129,1,90,5.6,3.3,45,50
19,54,186,74.9,3437,149,3,20,4.9,2.5,75,79.4
20,21,193,85.2,1903,60,6,50,8.1,1.4,45,82.9
21,46,158,72,2640,163,3,20,6.5,4,90,73.2
22,52,150,103.2,2468,87,6,75,6.7,4,30,102.3
23,18,174,63.1,3363,118,6,90,7.5,2.7,45,64.7
24,21,187,89.9,1749,125,0,0,7.1,2.8,90,86.5
25,50,155,96.5,1780,62,3,60,5,4.1,45,94.8
26,20,189,52.7,2795,111,3,50,5.6,2.4,120,55.5
27,47,170,101,1797,47,7,20,4.8,1.7,60,97.4
28,40,154,98.1,3013,117,2,75,8.3,3.5,90,103
29,51,150,86.1,2726,71,2,45,5,1.4,90,86.5
30,36,188,60,2904,97,4,90,6.7,4.2,30,59.9
31,45,167,50.5,2866,78,4,30,7.8,2.9,75,52.9
32,25,154,101.9,2110,184,0,50,7.1,1.5,45,100.6
33,41,152,99.2,2360,108,1,50,8,4.1,75,100.8
34,27,165,97.3,2225,150,0,30,7.8,2.2,75,98.1
35,33,167,57.1,1942,142,0,75,5.5,3.9,75,55.3
36,32,164,49.3,2291,147,5,45,8.4,4.4,60,49.1
37,50,175,86.7,2856,52,1,45,5.3,4.4,60,87.2
38,45,172,89.5,2784,156,1,60,8.5,1.7,30,91
39,18,183,100.8,2307,138,6,20,8.8,4.2,90,101
40,25,169,76.9,3172,128,6,45,7,1.7,120,83
41,29,189,80.4,3163,185,0,45,5.8,2.5,90,85.5
42,38,179,73.2,2375,175,7,30,7.5,2,120,73.9
43,39,155,94.7,2462,124,3,40,5.2,1.2,75,95
44,22,179,71.6,2296,143,7,60,5.6,3.3,30,72
45,24,177,60.5,3402,57,3,20,6.6,3.8,120,67.7
46,53,188,66.1,3312,174,6,90,6.5,1.6,75,69.1
47,33,190,63.8,3484,106,4,75,4.8,2,60,66.5
48,52,155,55.9,2447,143,2,40,4.8,2.4,90,56.1
49,21,163,95.5,3095,50,6,75,4.5,2.2,75,97.6
50,44,184,90.6,2403,169,3,45,6.5,1.1,60,91.2
51,43,160,95.9,2022,181,0,60,7.2,3.3,30,96
52,26,179,58.4,2565,142,5,40,6.5,2.2,75,58.6
53,44,166,95.6,3426,49,0,50,5.5,1.2,120,101.5
54,19,165,59.4,1583,84,3,30,6.6,1.4,45,57.1
55,34,173,57.6,1969,86,4,20,7.1,4.3,90,56.1
56,42,175,101.7,2312,64,3,20,7.6,2.1,120,101.7
57,25,186,92.6,2922,181,6,50,4.8,3.3,30,94.2
58,49,156,72.7,2983,162,2,60,5.3,2.8,120,76.5
59,52,180,74.5,2599,127,3,20,5.8,2.6,75,75.7
60,42,171,49.6,2831,91,7,40,6.1,1.9,60,51.4
61,35,185,48.6,2282,66,3,60,6.7,3.7,120,47.4
62,49,178,93.2,1881,120,3,60,7.6,2.1,90,90.4
63,53,183,67.6,2854,135,7,45,5.9,1.8,120,69.3
64,25,184,102.2,2258,94,3,75,5.7,3.1,90,101.1
65,24,162,64.9,2978,90,4,0,7.7,1.4,30,67.1
66,53,168,87.8,2017,170,1,0,7.1,2.6,75,86.7
67,21,166,101.6,3456,74,1,60,6.7,3,120,108.2
68,27,186,102.1,1848,108,1,90,7.9,3.1,90,99.2
69,51,174,73.7,3313,121,6,45,7.1,1.2,120,78.9
70,31,190,60,1832,85,3,30,7,1.5,75,57.5
71,48,168,49.9,2680,117,7,20,7.6,4.2,120,52.7
72,30,177,54.5,2420,83,4,30,4.8,1.6,60,54.4
73,54,168,73,3419,122,6,45,6.8,2.7,30,74.9
74,45,170,82.4,1605,68,3,0,9,3.4,60,80.5
75,29,180,77.6,3311,116,2,60,7.4,2.7,30,79.3
76,44,171,66.3,1928,86,5,60,7.6,2,75,64.6
77,53,152,73.9,2788,109,5,20,8.9,2.4,90,77.5
78,18,192,97.6,3392,150,0,40,6.8,3.2,75,103
79,21,163,63.2,2036,118,7,75,5,4.4,90,60.4
80,28,169,79.4,3171,68,3,20,6.6,1.4,45,81.4
81,36,182,88.2,3201,168,7,40,6.6,1.5,45,91.1
82,50,158,97.2,2631,151,5,90,5.7,1,120,96.9
83,55,187,104.9,3505,83,7,90,6.7,2.2,90,108.6
84,38,162,103.9,2478,143,3,60,4.7,3.6,120,105
85,42,174,104.3,2123,171,0,30,6.8,3.1,30,105
86,46,156,78,3371,48,2,60,8.4,4.4,30,79.9
87,34,171,83.5,3128,65,5,90,6.2,2.1,120,87.5
88,49,184,50,1780,105,4,40,7.9,2.5,30,49.6
89,24,178,57.5,2726,52,0,50,8.1,2,60,58.8
90,33,183,71.5,2237,88,2,20,7.2,2.3,120,70.3
91,55,159,61.2,2540,162,4,0,8.5,2.6,60,63
92,28,154,73.2,2915,121,6,45,6.6,2.1,75,75.9
93,24,165,69.7,2970,120,4,0,8.9,3.3,60,71.5
94,21,188,90.5,2672,103,5,40,7.4,3.2,120,93.1
95,26,190,53.5,1661,124,7,0,7.1,3.6,30,53.5
96,38,176,58,2041,183,5,90,6.8,2,45,56.2
97,48,168,90.6,2887,74,7,20,5.1,4.4,120,93.9
98,43,185,68.8,3116,48,4,90,5.1,2.3,120,72.1
99,55,174,94.9,3021,72,3,75,4.6,4.1,90,96.9
100,32,191,51.6,3401,122,6,20,5.1,4.3,60,56.2
101,25,156,61.4,2055,144,7,50,7.5,3.6,90,59.3
102,27,176,85.3,3504,149,4,0,7.6,1.8,75,92
103,41,156,103.9,3004,184,5,0,6.3,1.7,30,106.2
104,47,155,85.8,1587,57,5,40,8.9,3.8,45,82.9
105,53,163,81.4,2454,129,2,0,5.7,4.4,45,82
106,29,157,85.7,1605,78,0,50,8.1,1.8,60,82.3
107,34,153,55.2,3224,179,1,20,6.6,3.7,90,60.8
108,46,182,60.6,1677,178,4,75,7.4,1.1,75,58.2
109,45,193,54.2,3316,63,1,50,7.2,1.2,60,57.7
110,55,185,88.6,3060,180,4,75,6.8,2.5,120,92.4
111,53,163,72.5,2435,150,5,75,6.3,3.6,60,72.2
112,34,173,102.4,3442,62,1,20,4.9,1.3,120,108.9
113,26,185,51.4,2850,76,6,50,8.4,4.3,75,54.1
114,21,168,82.2,2940,71,3,30,7.5,1.8,30,82.8
115,53,173,54.5,2641,102,6,90,8.9,3.9,90,55.5
116,53,151,82.7,2595,52,2,45,7.7,2.1,60,83.1
117,29,159,80.3,3141,62,2,0,4.9,2.9,75,83.2
118,39,160,69.1,2828,190,1,0,5.2,3.6,30,70.6
119,35,178,85.7,3489,158,6,45,5.5,2.8,60,89.1
120,36,193,86.7,3493,179,4,0,5.5,4.4,30,87.9
121,37,163,91.7,2546,119,5,20,4.5,3.6,45,91.2
122,52,195,61.1,2950,63,6,0,6.5,2.6,30,62.9
123,54,177,80.7,3210,119,1,60,4.6,2.1,90,84.7
124,41,155,72.9,1933,107,6,60,6.9,2.4,60,71.4
125,32,171,92.4,1812,175,1,90,6.8,4.2,60,90.6
126,27,165,53.9,2548,95,2,30,7.9,3.3,45,55.6
127,49,179,91,3338,189,5,50,5.2,1.2,75,95.2
128,35,187,51.2,3578,63,4,75,6.5,1.2,60,53.7
129,23,189,81.9,3074,163,0,75,8.6,3,45,84
130,48,182,56.6,1753,160,1,50,8.9,1.3,120,53
131,33,195,73,3299,179,2,50,6.2,2,75,78
132,21,190,84.9,1769,129,1,90,7.6,2,120,82.1
133,27,171,52.6,2079,134,4,60,5.1,3.5,30,51.5
134,42,191,93.1,2023,179,1,60,6.8,1.1,60,91.5
135,31,171,102,3491,94,3,30,5.2,2,30,103.8
136,52,183,50.2,2879,78,6,30,5.2,3.9,90,52.8
137,28,178,50.5,2992,105,7,45,7.9,3.7,45,52.1
138,37,180,99.5,2294,139,7,75,8,3.7,90,98.4
139,28,162,93.7,2066,109,0,75,8.4,2.9,30,94
140,51,157,64.2,2156,114,7,90,5.2,2.5,45,63.3
141,40,151,71.6,3123,173,5,40,6.2,1.3,45,72.5
142,24,195,85,2098,80,0,45,8.6,2.7,45,85.2
143,48,178,83.1,1824,49,4,40,8.3,2.9,120,79.4
144,45,157,92.2,2473,122,1,0,5.6,3.2,90,92.9
145,25,181,82,1567,176,3,30,5.8,1,60,78.7
146,44,161,85.9,1850,179,5,20,8.8,2.9,90,84.4
147,42,180,50.5,3084,140,4,0,6.1,1.2,45,53
148,24,187,89.9,2861,79,0,50,7,3.8,45,92.2
149,47,194,75.3,2246,79,1,75,4.7,1.7,45,75.5
150,38,169,77.4,3439,109,0,40,5.8,4,30,80.3
151,39,167,55.1,3007,156,6,75,8.5,2.4,45,56.6
152,49,173,100.7,2592,66,6,20,6.4,4.5,45,101.4
153,38,156,52.6,2710,123,7,60,5.2,2.6,75,52
154,40,189,104.9,2624,59,1,60,6.1,3.8,120,105.6
155,19,159,96.4,3294,53,2,20,5.6,3.3,60,99.2
156,54,152,82.5,3342,139,5,75,7.9,3,90,87
157,38,191,63.9,1964,51,2,75,6.8,4.2,30,62.6
158,34,195,73.4,2669,170,3,20,5.1,1.3,45,75.1
159,46,155,94.2,2809,133,1,90,6.9,4.1,45,96.1
160,29,173,77,1997,96,2,40,8.1,1.1,90,75.5
161,47,185,55.4,1853,61,4,60,9,3.5,90,52.4
162,44,186,52.2,2798,63,7,75,7.6,2.2,90,53.2
163,29,158,72.7,1726,76,2,45,5.2,2.1,120,66.8
164,51,168,96.2,2526,95,4,30,7.3,3.2,30,96.6
165,28,187,101.7,2131,88,5,0,8.2,1.1,30,102.4
166,54,166,85.1,3206,52,7,90,5.8,4.3,75,86.3
167,43,169,73.9,1745,85,7,60,6.7,1.7,90,68.5
168,38,172,103.6,2035,139,1,50,5.6,1.4,75,101.6
169,24,153,64.5,3073,152,3,30,8.2,4.3,120,70.2
170,28,181,104.8,3412,172,4,75,4.6,4.3,90,109.6
171,33,163,81.3,1699,57,4,75,7.2,3.9,120,75.5
172,52,150,96.3,3265,79,4,50,7.9,2.3,75,99.1
173,53,162,68.7,2682,63,6,90,6.5,2.9,90,68.9
174,25,158,103.6,3113,140,5,90,8.7,3.6,45,105.7
175,43,182,50.3,1659,80,5,75,6.8,1.5,90,44.6
176,38,160,70.4,2725,131,7,45,6.6,1.1,60,71.5
177,44,187,65.5,1609,166,4,40,7.7,3,45,63.8
178,42,159,94.8,2492,53,1,40,4.6,2.1,45,94.6
179,31,176,76.6,3431,60,2,90,5.4,2.1,120,82.8
180,42,170,102.5,3382,181,5,90,6.1,3.7,120,109
181,34,189,75.6,2509,116,4,40,8.7,4.4,60,77
182,49,170,75.3,2620,118,1,90,6.2,4.4,60,77.3
183,27,168,50.4,1823,133,7,45,7.9,1.7,90,46.8
184,53,194,63.5,1947,106,3,0,7.5,2.9,120,60.8
185,24,176,66.8,3434,70,2,0,8.8,4.4,45,69.9
186,48,180,85.1,2676,127,4,0,8.6,1.3,90,87.1
187,20,161,71.8,2220,54,6,75,5.3,3.6,60,70.9
188,18,169,80.4,1939,130,4,75,9,2.9,75,79.5
189,26,182,74.7,2289,73,5,30,7.8,3.3,120,73.4
190,39,168,80.4,2291,89,6,60,6.8,1.3,120,77.6
191,26,180,66.4,2516,46,4,60,5.6,3.6,60,65.8
192,54,150,62.9,2972,105,0,20,6.6,1.6,120,67.5
193,37,194,54.7,2708,139,3,40,8.8,2.7,75,57.4
194,41,176,88,3428,182,3,40,7.6,3.1,30,90.2
195,51,195,68.6,1959,60,3,90,5.2,2.1,90,65
196,31,195,81.2,1872,175,7,0,6.5,2.8,75,79.9
197,53,179,86.3,2762,50,6,45,8.2,3.6,90,87
198,45,172,87.9,1746,62,7,0,5.8,1.6,45,86.7
199,44,173,104.6,3066,159,6,60,4.9,4.4,90,106.6
200,40,157,58.2,3109,180,2,40,8.3,3.6,60,61.5
201,52,177,78.3,2440,108,7,50,5.2,1.7,120,77.7
202,20,192,71.9,1564,106,3,20,5,1.1,90,67.7
